image 4935/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4666.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4936/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4667.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4937/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4668.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.1ms
image 4938/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4669.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4939/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4670.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4940/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4671.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4941/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4672.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4942/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4673.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4943/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4674.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4944/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4675.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4945/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4676.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
